upc_place,asin_place,Name,my_list_price_amz_wal_upc_place,my_list_price_anything_place,ebay_lowest,ebay_mid_1,ebay_mid_2,ebay_mid_3,ebay_mid_4,ebay_mid_5,ebay_mid_6,ebay_mid_7,ebay_mid_8,ebay_highest
97855148155,B07R6PCJYX,ASTRO Gaming A50 Wireless Headset + Base Station Gen 4 - Compatible with Xbox Series X|S Xbox One PC Mac - Black/ Gold,,,120,128,130,132,132.5,150,158,160,170,175.99
192018046634,B07R8JL95K,HP 89X Black High-yield Toner Cartridge for HP Printers | Works with Printer Series: LaserJet Enterprise M507 LaserJet Enterprise MFP M528 | CF289X,,,175,179.9,187,205,205,219.95,220,220,220,225
75609199059,B07XQBY5QQ,Olay Retinol 24 Face Moisturizer Anti-Aging Night Cream for Women Fragrance-Free Non Greasy - Anti-Wrinkle Smooth Fine Lines Tightening Hydrating Skin Care - Peptides Glycerin 1.7 Oz,,,14.52,15.99,38,39.95,,,,,,
850036786986,B07Z1DBYZZ,JustFoodForDogs Pantry Fresh Wet Dog Food Complete Meal or Dog Food Topper Lamb & Brown Rice Human Grade Dog Food Recipe - 12.5 oz (Pack of 12),,,144.95,144.95,147.67,147.67,,,,,,
666519636026,B08177ZPKM,Tommee Tippee Ultra-Light Silicone Pacifier 0-6 Months Symmetrical One-Piece Design BPA-Free Silicone Binkies Clear/ Blue/ Green Pack of 4,,,13.99,14,25.99,,,,,,,
30878142939,B08562D7X8,Enbrighten Almond Z-Wave Plus Smart Light Switch with QuickFit and SimpleWire 3-Way Ready Compatible with Alexa Google Assistant ZWave Hub Required Repeater/ Range Extender Toggle 14293,,,17.5,17.99,18,19.98,20,20,29,29,31,33
650530032554,B086QB7WZ1,AT&T BL102-2 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine Call Blocking Caller ID Announcer Audio Assist Intercom and Unsurpassed Range Silver/ Black,,,23,31.5,32.85,36,36,38,38.5,39,39.5,40
815017029612,B08B3J12L7,SimpliSafe Entry Sensor - Window and Door Protection - Compatible with Gen 3 Home Security System,,,14,14,14,14.7,14.8,14.8,14.8,14.95,15,15
18084021699,B08F16ML92,Aveda Tulasara Firming Sleeping Masque Rich Moisturizing Night Cream 1.7 Fluid Ounce,,,54.99,58,59.95,64,64.98,65,67.76,71,86,126
810036733700,B08G8VFCNX,Double Donut Flavored Coffee Pods Pumpkin Spice Coffee Single Serve Coffee for Keurig K Cups Machines Medium Roast Coffee in Recyclable Pods 24 Count,,,14.39,20.5,21.24,21.77,22.05,22.12,22.46,23.77,24.58,27.4
788311364478,B08KDG6G1P,GDSMOTU AND0293 13871 421000-0011 Alternator Compatible with for Town & Country for Grand Caravan 3.3L 3.8L 01-07 Alternator 12V 140AMP,,,91.37,91.37,91.37,,,,,,,
74660534786,B08P5432LM,Turtle Wax 53478 Hybrid Solutions Pro 1 and Done Compound Correct and Finish 16 oz.,,,16.99,17.5,17.79,18.99,18.99,19.94,19.99,21.99,24,26
742797894003,B08PW32RK6,GNC Pets Advanced Dog Supplements Cardiovascular Support & Heart Health Chews for Dogs Soft Pet Supplement Made in USA Cardio Vitamins & Easy to Chew Canine Essentials 90 Count,,,25,52.24,55.79,55.79,,,,,,
191693210835,B08W1WGLHD,Zippo NFL HeatBank 9s Rechargeable Hand Warmer- Black-Dallas Cowboys,,,,,,,,,,,,
742797783079,B08YD3CRLN,Clorox Fraganzia Air Care Air Freshener Crystal Beads in Lavender with Eucalpytus Scent Scent 12 Oz Lavender Eucalyptus Scented Air Freshener Gel Beads from Clorox Fraganzia for Car or Home(Pack of 1),,,5.99,6.28,6.28,6.28,6.9,6.97,6.99,7.31,11,11.8
617308542608,B0928DS47X,Flex Wireless Activity + Sleep Wristband Two Wristbands Included Small/ Large (Two Wristbands Included Large and Small Teal),,,,,,,,,,,,
,B093GCL18V,ARZOPA Portable Monitor 15.6'' 1080P FHD Laptop Monitor USB C HDMI Computer Display HDR Eye Care External Screen w/ Smart Cover for Mac Phone Xbox Switch PS5-S1 Table,,,,,,,,,,,,
840095878043,B094YHJJVG,Amazon Basics Outdoor Smart Plug with 2 Individually Controlled Outlets Works with Alexa Only 2.4 GHz Wi-Fi No Hub Required Black,,,21,25,28,32,33.34,47.99,52.99,,,
751784600923,B09885JMHL,FELIWAY® Optimum 30 Day Cat Calming Refill for Pheromone Diffuser 48ml - Helps Reduce Common Signs of Stress in Cats & Kittens Enhanced Calming,,,,,,,,,,,,
637480065153,B09B7Z7WGG,Atkins Café Caramel Iced Coffee Flavored Protein Shake High Protein Shake Low Glycemic Low Carb and Low Sugar Keto Friendly Gluten Free 12 Count,,,26.95,29.99,31.45,45,55,,,,,
305734451747,B09BVYY7XR,Centrum Adult Multivitamin/ Multimineral Supplement with Antioxidants Zinc Vitamin D3 and B Vitamins Gluten Free Non-GMO Ingredients - 200 Count,,,14.99,15.99,16.14,16.6,17.48,17.48,17.67,17.99,19.85,19.99
195553274005,B09MZQ978N,ASUS ZenScreen 15.6” 1080P Portable USB Monitor (MB166C) - Full HD IPS USB Type-C  Tripod Mountable Anti-Glare Surface Protective Sleeve 3-Year Warranty,,,71.36,73,77,77.5,81.99,82,85,89.95,89.99,89.99
36000542127,B09NMRDJQM,Poise Ultra Thin Incontinence & Postpartum Pads with Wings for Bladder Leaks 4 Drop Moderate Absorbency Regular Length 54 Count Packaging May Vary,,,14,17.99,17.99,25.95,,,,,,
722510012006,B09RB8T5SC,Gorilla Glue O'Keeffe's Skin Repair Body Lotion W/ Pump-12oz,,,46.95,46.95,,,,,,,,
31604043735,B09RQYSGN4,Nature Made Maximum Strength Vitamin D3 10000 IU (250 mcg) Dietary Supplement for Bone Teeth Muscle and Immune Health Support 60 Softgels 60 Day Supply,,,13.95,13.99,14.95,15,15.4,15.99,17.98,19.49,19.75,21.95
766907016758,B09TQ26TGJ,ViewSonic PX701HDH 1080p Projector 3500 Lumens Supercolor Vertical Lens Shift Dual HDMI 10w Speaker Enjoy Sports and Netflix Streaming with Dongle,,,627,633.62,899.95,,,,,,,
850027424217,B09V9WC1S1,FELIWAY Optimum 6 x 30 Day Cat Calming Refills for Pheromone Diffuser 6 x 48ml Value Pack - Helps Reduce Common Signs of Stress in Cats & Kittens Enhanced Calming,,,,,,,,,,,,
54651195059,B09ZKV22S1,Creative Stage Air V2 2.0 Portable Bluetooth Sound Bar Speaker - 10 W RMS - Black,,,55,65.49,78.35,83.59,84.76,90.54,98.74,102.13,115.34,126.38
,B0B2DQHV7Z,Keychron K10 Pro Wireless Custom Mechanical Keyboard Full-Size QMK/ VIA Programmable Bluetooth/ Wired White Backlight with Hot-swappable Keychron K Pro Red Switch Compatible with Mac Windows Linux,,,,,,,,,,,,
44321024741,B0B39QD6D5,Design House 189472-MB Porter Cabinet and Drawer Pull 5-Inch (128mm) Center to Center Matte Black 5-Pack,,,41.75,46.74,52.79,59.98,63.81,,,,,
748927068238,B0B75HVR46,Optimum Nutrition Amino Energy Powder Plus Hydration with BCAA Electrolytes and Caffeine Strawberry Burst 30 Servings (Packaging May Vary),,,20.99,21.88,23.99,24.95,26.26,28.81,32.97,35.2,36.97,37.99
650240065873,B0B83THPXW,Dragon - Maximum Strength Pain Relief Numbing Cream with Lidocaine 2.7 Ounce (Pack of 3),,,,,,,,,,,,
195553568951,B0B8GKL9K2,Asus ROG Archer BP2702 Gaming Backpack Fits Up To 17 inch Laptop,,,119.99,,,,,,,,,
,B0B8SKKZWX,,,,,,,,,,,,,
,B0BKKPYX6P,Glade PlugIns Refills Air Freshener Scented and Essential Oils for Home and Bathroom Clean Linen 6.7 Fl Oz 10 Count (Packaging May Vary),,,,,,,,,,,,
61700300487,B0BLHX6HPH,Nair Sensitive Formula Prep & Smooth Face Hair Remover Soothing with Coconut Milk & Collagen Removes Facial Hair & Fuzz Smooths & Exfoliates Dermatologist Tested 1.76 oz (Pack of 2),,,,,,,,,,,,
,B0BN2ZQ4DX,Keychron K4 Pro Custom Wireless Mechanical Keyboard 96 Keys Hot-swappable QMK/ VIA Programmable Macro with K Pro Red Switch RGB Backlit Compatible Mac Windows Linux - Black,,,,,,,,,,,,
810084690185,B0BWNLTTGF,Ubiquiti Camera G5 Bullet,,,125.33,136,161,162,163.2,174,178,180.9,186,199.99
20066492304,B0BY3G9D95,Rust-Oleum 369384 Advanced Dry Door & Trim Paint Quart Satin White,,,28.97,28.99,30.08,,,,,,,
810007713953,B0C5DZHCY9,Hyperkin Xenon Wired Controller - White - Officially licensed Xbox 360 Controller replica for use with Xbox Series X|S Xbox One Windows 10|11 PC Video Game Controller 3.5MM Audio Jack Impulse Triggers Plug and Play Gaming Gamepad,,,54.59,59,101.78,114,157,249,,,,
850048434479,B0C7H27ZFY,Craft & Kin Reed Diffuser with Dried Flowers | 5 oz Santal Woods Scented Reed Diffusers for Home Bathroom | Scent Sticks | Elegant Fragrance Home Decor for Men & Women,,,39.99,47.43,48.94,49.41,49.41,50.23,50.55,50.99,51.41,51.46
